temRT,temHashtag,temUser,temURL,temLetraRepetid,numeroLetrasRepetidas,temPontoInterrogacao,temPontoExclamaco,EmojisPositivo,EmojisNegativo,quantidadePalavras,quantidadePalavrasQueIniciamMaiusculas,quantidadePalavrastodasAsLetrasMaiusculas,quantidadeLetrasMaiusculas,quantidadePontosInterogacao,quantidadePontosExclamacao,quantidadeEmojisPositivos,quantidadeEmojisNegativos,mediaCharacteresPorPalavra,classe
0,0,0,1,1,4,0,0,0.0,0.0,16.0,3.0,0.0,12.0,0.0,0.0,0.0,0.0,6.0,NEUTRO
0,0,0,0,1,4,0,0,0.0,0.0,49.0,8.0,3.0,26.0,0.0,0.0,0.0,0.0,4.0,POSITIVO
0,0,1,0,1,7,0,0,0.0,0.0,40.0,4.0,0.0,8.0,0.0,0.0,0.0,0.0,6.0,NEGATIVO
0,0,0,1,0,0,0,0,0.0,0.0,13.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,7.0,POSITIVO
0,0,1,0,1,4,1,0,0.0,0.0,37.0,11.0,1.0,15.0,1.0,0.0,0.0,0.0,5.0,NEUTRO
0,0,1,1,0,0,0,0,0.0,0.0,10.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,8.0,NEUTRO
0,0,0,1,1,5,0,0,0.0,0.0,7.0,2.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,NEUTRO
0,0,0,0,0,0,0,0,0.0,0.0,9.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,POSITIVO
0,0,0,1,1,5,0,0,0.0,0.0,15.0,6.0,1.0,13.0,0.0,0.0,0.0,0.0,8.0,NEUTRO
0,0,0,0,0,0,0,0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,NEUTRO
0,0,0,1,1,4,1,0,0.0,0.0,12.0,1.0,0.0,10.0,1.0,0.0,0.0,0.0,8.0,NEUTRO
0,0,0,0,0,0,0,0,0.0,0.0,20.0,6.0,6.0,23.0,0.0,0.0,0.0,0.0,5.0,NEGATIVO
0,0,0,0,0,0,0,0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,POSITIVO
0,0,0,1,1,4,0,0,0.0,0.0,15.0,11.0,1.0,17.0,0.0,0.0,0.0,0.0,7.0,NEUTRO
0,0,0,0,0,0,0,0,0.0,0.0,21.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,POSITIVO
